marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,HoofdCategorieMS,GEMEENTE,PROVINCIE,PLAATS,SITUERING,Adres,POSTCODE,STATUS,long,lat
#80ff80,small,,45729,,Archeologie,Ten Boer,Groningen,Ten Boer,,,9790 AA,beschermd,6.730412738813,53.270586208742
#80ff80,small,,45730,,Archeologie,Ten Boer,Groningen,Thesinge,,,9797 ZA,beschermd,6.651113897954,53.269577801182
#80ff80,small,,45745,,Archeologie,Loppersum,Groningen,Loppersum,,,9919 ZA,beschermd,6.747527187387,53.337953444478
#80ff80,small,,45746,,Archeologie,Loppersum,Groningen,Wirdum,,,9917 ZA,beschermd,6.784988768303,53.322732127972
#80ff80,small,,45747,,Archeologie,Loppersum,Groningen,Loppersum,,,9919 ZA,beschermd,6.797780507222,53.323777886368
#80ff80,small,,45748,,Archeologie,Loppersum,Groningen,Loppersum,,,9919 ZA,beschermd,6.75060281363,53.304678025528
#80ff80,small,,45749,,Archeologie,Loppersum,Groningen,Loppersum,,,9919 ZA,beschermd,6.728984786949,53.318670504028
#80ff80,small,,45751,,Archeologie,Loppersum,Groningen,Wirdum,,,9917 ZA,beschermd,6.783794595253,53.324785926256
#80ff80,small,,45752,,Archeologie,Loppersum,Groningen,Eekwerderdraai,,,9914 ZA,beschermd,6.801362442783,53.314470754077
#80ff80,small,,45753,,Archeologie,Loppersum,Groningen,Eekwerderdraai,,,9914 ZA,beschermd,6.802559596367,53.315283417083
#80ff80,small,,45754,,Archeologie,Loppersum,Groningen,Eekwerderdraai,,,9914 ZA,beschermd,6.803418460025,53.315390123488
#80ff80,small,,45763,,Archeologie,Loppersum,Groningen,Toornwerd,,,9914 ZA,beschermd,6.63800801719,53.352666805926
#80ff80,small,,45764,,Archeologie,Loppersum,Groningen,Westerwijtwerd,,,9914 ZA,beschermd,6.648762203984,53.337826202597
#80ff80,small,,45765,,Archeologie,Loppersum,Groningen,Middelstum,,,9990 AA,beschermd,6.638602607417,53.331785853383
#80ff80,small,,45766,,Archeologie,Loppersum,Groningen,Middelstum,,,9990 AA,beschermd,6.626144005614,53.317204552555
#80ff80,small,,45767,,Archeologie,Loppersum,Groningen,Fraamklap,,,9914 ZA,beschermd,6.611328541348,53.337134833707
#80ff80,small,,45768,,Archeologie,Loppersum,Groningen,Middelstum,,,9990 AA,beschermd,6.673319318609,53.357254697517
#80ff80,small,,45769,,Archeologie,Loppersum,Groningen,Huizinge,,,9914 ZA,beschermd,6.67131010713,53.345288646398
#80ff80,small,,45770,,Archeologie,Loppersum,Groningen,Middelstum,,,9990 AA,beschermd,6.645996093872,53.353113636914
#80ff80,small,,45771,,Archeologie,Loppersum,Groningen,Huizinge,,,9914 ZA,beschermd,6.678058309547,53.346986667593
#80ff80,small,,45772,,Archeologie,Loppersum,Groningen,Middelstum,,,9990 AA,beschermd,6.642558619749,53.348027489378
#80ff80,small,,45773,,Archeologie,Loppersum,Groningen,Middelstum,,,9990 AA,beschermd,6.608911631823,53.348787401087
#80ff80,small,,45774,,Archeologie,Loppersum,Groningen,Middelstum,,,9990 AA,beschermd,6.617983051405,53.337785783524
#80ff80,small,,45775,,Archeologie,Loppersum,Groningen,Westerwijtwerd,,,9914 ZA,beschermd,6.656025003238,53.330560833351
#80ff80,small,,45776,,Archeologie,Loppersum,Groningen,Westerwijtwerd,,,9914 ZA,beschermd,6.670904715623,53.330178205595
#80ff80,small,,45870,,Archeologie,Ooststellingwerf,Friesland,Waskemeer,,,8434 ZA,beschermd,6.309160809219,53.04994828816
#80ff80,small,,45871,,Archeologie,Ooststellingwerf,Friesland,Waskemeer,,,8434 ZA,beschermd,6.305045492974,53.049278977523
#80ff80,small,,45872,,Archeologie,Ooststellingwerf,Friesland,Waskemeer,,,8434 ZA,beschermd,6.289258869233,53.047430987385
#80ff80,small,,45873,,Archeologie,Ooststellingwerf,Friesland,Donkerbroek,,,8435 ZA,beschermd,6.27267735829,53.036510420312
#80ff80,small,,45874,,Archeologie,Ooststellingwerf,Friesland,Oosterwolde,,,8430 AA,beschermd,6.319102868999,53.017025271555
#80ff80,small,,45875,,Archeologie,Ooststellingwerf,Friesland,Donkerbroek,,,8435 ZA,beschermd,6.263998775453,53.011295158003
#80ff80,small,,45877,,Archeologie,Ooststellingwerf,Friesland,Oosterwolde,,,8430 AA,beschermd,6.248834983373,52.99271325769
#80ff80,small,,45878,,Archeologie,Ooststellingwerf,Friesland,Langedijke,,,8420 AA,beschermd,6.261177858648,52.971747628544
#80ff80,small,,45879,,Archeologie,Ooststellingwerf,Friesland,Twijtel,,,8420 AA,beschermd,6.185021786773,52.982471153269
#80ff80,small,,45880,,Archeologie,Dongeradeel,Friesland,Dokkum,,,9100 AA,beschermd,6.028635299948,53.328824267399
#80ff80,small,,45881,,Archeologie,Dongeradeel,Friesland,Oostrum,,,9100 AA,beschermd,6.052562014204,53.3328275258
#80ff80,small,,45882,,Archeologie,Dongeradeel,Friesland,Oostrum,,,9100 AA,beschermd,6.058135952427,53.334108423946
#80ff80,small,,45884,,Archeologie,Dongeradeel,Friesland,Oostrum,,,9100 AA,beschermd,6.064953461969,53.338077698029
#80ff80,small,,45885,,Archeologie,Dongeradeel,Friesland,Jouswier,,,9100 AA,beschermd,6.077450029979,53.342202811091
#80ff80,small,,45886,,Archeologie,Dongeradeel,Friesland,Jouswier,,,9100 AA,beschermd,6.078438415896,53.342044380137
#80ff80,small,,45887,,Archeologie,Dongeradeel,Friesland,Jouswier,,,9100 AA,beschermd,6.079593265891,53.344769312393
#80ff80,small,,45888,,Archeologie,Dongeradeel,Friesland,Jouswier,,,9100 AA,beschermd,6.073485849722,53.349710373238
#80ff80,small,,45889,,Archeologie,Dongeradeel,Friesland,Niawier,,,9100 AA,beschermd,6.041352111024,53.362684652209
#80ff80,small,,45890,,Archeologie,Dongeradeel,Friesland,Metslawier,,,9123 ZA,beschermd,6.058959360086,53.361877756844
#80ff80,small,,45891,,Archeologie,Dongeradeel,Friesland,Oosternijkerk,,,9137 ZA,beschermd,6.034316278198,53.380271053172
#80ff80,small,,45892,,Archeologie,Dongeradeel,Friesland,Aalsum,,,9100 AA,beschermd,6.002906130586,53.339103345689
#80ff80,small,,45893,,Archeologie,Dongeradeel,Friesland,Aalsum,,,9100 AA,beschermd,6.000084548453,53.344437114756
#80ff80,small,,45894,,Archeologie,Dongeradeel,Friesland,Aalsum,,,9100 AA,beschermd,6.019758891743,53.341711481265
#80ff80,small,,45895,,Archeologie,Dongeradeel,Friesland,Wetsens,,,9100 AA,beschermd,6.033207663375,53.346474124178
#80ff80,small,,45896,,Archeologie,Dongeradeel,Friesland,Morra,,,9100 AA,beschermd,6.092416236878,53.36128189627
#80ff80,small,,45897,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.102541371802,53.357735759055
#80ff80,small,,45898,,Archeologie,Dongeradeel,Friesland,Lioessens,,,9134 ZA,beschermd,6.105512336332,53.382760330955
#80ff80,small,,45899,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.111996778251,53.382299131578
#80ff80,small,,45900,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.110072333907,53.376883549506
#80ff80,small,,45901,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.128159184381,53.38009810508
#80ff80,small,,45902,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.135646170406,53.375972394885
#80ff80,small,,45903,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.142982200895,53.378729977
