marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,SubCategorieMS,BouwjaarBegin,BouwjaarEind,Gemeente,Provincie,Plaats,Situering,Adres,Postcode,Status,long,lat
#0080ff,small,,14551,,Woonhuis,,,De Marne,Groningen,Eenrum,,Oudekerkhofpad 2,9967 RM,beschermd,6.460074739026,53.365016033171
#0080ff,small,,14552,,"Waterweg, werf en haven",,,De Marne,Groningen,Eenrum,, ,9967 ZA,beschermd,6.456962150571,53.364899982735
#0080ff,small,,14553,,Woonhuis,,,De Marne,Groningen,Pieterburen,,Hoofdstraat 69,9968 AB,beschermd,6.449942585173,53.40062656055
#0080ff,small,,14554,,Woonhuis,,,De Marne,Groningen,Pieterburen,,Hoofdstraat 93,9968 AB,beschermd,6.453090141733,53.400230314081
#0080ff,small,,14555,,Woonhuis,,,De Marne,Groningen,Pieterburen,,Hoofdstraat 103,9968 AC,beschermd,6.454352359239,53.400201157774
#0080ff,small,,14556,,Boerderij,,,De Marne,Groningen,Pieterburen,,Hoofdstraat 155,9968 AD,beschermd,6.460125195958,53.400176790944
#0080ff,small,,14557,,Kerk en kerkonderdeel,,,De Marne,Groningen,Pieterburen,,Hoofdstraat 74,9968 AG,beschermd,6.451032488998,53.399709378799
#0080ff,small,,14558,,Kerk en kerkonderdeel,,,De Marne,Groningen,Pieterburen,Bij,Hoofdstraat 74,9968 AG,beschermd,6.451032488998,53.399709378799
#0080ff,small,,14559,,Boerderij,,,De Marne,Groningen,Pieterburen,,Hoofdstraat 140,9968 AH,beschermd,6.459450358274,53.399643663779
#0080ff,small,,14560,De Vier Winden,Industrie- en poldermolen,,,De Marne,Groningen,Pieterburen,,Hoofdstraat 150,9968 AH,beschermd,6.460623710836,53.399669147368
#0080ff,small,,14561,,"Tuin, park en plantsoen",,,De Marne,Groningen,Pieterburen,Bij,Hoofdstraat 74,9968 AG,beschermd,6.451032488998,53.399709378799
#0080ff,small,,14562,Huninga,Boerderij,,,De Marne,Groningen,Eenrum,,Oosterweg 13,9967 TK,beschermd,6.458036842462,53.387561490724
#0080ff,small,,14563,,Boerderij,,,De Marne,Groningen,Pieterburen,,Oosterweg 19,9968 TK,beschermd,6.460082149133,53.398451922448
#0080ff,small,,14564,,Boerderij,,,De Marne,Groningen,Pieterburen,,Oudedijk 19,9968 TC,beschermd,6.455768656748,53.406370732898
#0080ff,small,,14565,,Straatmeubilair,,,De Marne,Groningen,Eenrum,Bij,Oudeschoolgang 1,9967 SE,beschermd,6.459302906768,53.365391332627
#0080ff,small,,14566,Ten Dijke,Boerderij,,,De Marne,Groningen,Pieterburen,,Wierhuisterweg 37,9968 AN,beschermd,6.445569037629,53.405580253663
#0080ff,small,,14567,,Kerk en kerkonderdeel,,,De Marne,Groningen,Westernieland,,Schaapweg 2,9969 PM,beschermd,6.476366151113,53.400893541737
#0080ff,small,,15610,,Woonhuis,,,Ferwerderadiel,Friesland,Ferwert,,Vrijhof 7,9172 MR,beschermd,5.823858405432,53.338593109616
#0080ff,small,,15611,,Werk-woonhuis,,,Ferwerderadiel,Friesland,Ferwert,,Vrijhof 8,9172 MR,beschermd,5.823978774578,53.338619628198
#0080ff,small,,15612,,Werk-woonhuis,,,Ferwerderadiel,Friesland,Ferwert,,Vrijhof 9,9172 MR,beschermd,5.824054107909,53.338646310328
#0080ff,small,,15613,,Straatmeubilair,,,Ferwerderadiel,Friesland,Ferwert,, ,9172 ZA,beschermd,5.824201857166,53.338412155818
#0080ff,small,,15614,,Onderdeel woningen e.d.,,,Ferwerderadiel,Friesland,Ferwert,Bij,Vrijhof 7,9172 MR,beschermd,3.313557634774,47.974765885163
#0080ff,small,,15615,,Kerk en kerkonderdeel,,,Ferwerderadiel,Friesland,Ginnum,,Harstawei 7,9174 GB,beschermd,5.874351584717,53.323195902685
#0080ff,small,,15616,Roorda-State,Boerderij,,,Ferwerderadiel,Friesland,Ginnum,,Roordastrjitte 7,9174 GD,beschermd,5.872640233843,53.323148914906
#0080ff,small,,15617,Feitsma State,Boerderij,,,Ferwerderadiel,Friesland,Hallum,,Hoge Herenweg 35,9074 TH,beschermd,5.765645063763,53.313550768972
#0080ff,small,,15618,,Kerk en kerkonderdeel,,,Ferwerderadiel,Friesland,Hallum,,Kerkpad 1,9074 BX,beschermd,5.785540835301,53.307142797381
#0080ff,small,,15619,,Woonhuis,,,Ferwerderadiel,Friesland,Hallum,,Kerkpad 6,9074 BX,beschermd,5.785671857978,53.306711065302
#0080ff,small,,15620,,Woonhuis,,,Ferwerderadiel,Friesland,Hallum,,Kerkpad 13,9074 BX,beschermd,5.784787880541,53.306830803597
#0080ff,small,,15621,,Woonhuis,,,Ferwerderadiel,Friesland,Hallum,,Langebuorren 27,9074 CG,beschermd,5.783343080199,53.306323410159
#0080ff,small,,15622,,Boerderij,,,Ferwerderadiel,Friesland,Hallum,,MariŸngaarderweg 2,9074 TL,beschermd,5.759678529416,53.307180833533
#0080ff,small,,15623,Mariengaarde,Boerderij,,,Ferwerderadiel,Friesland,Hallum,,MariŸngaarderweg 45,9074 TM,beschermd,5.751584974633,53.297393634681
#0080ff,small,,15898,,Werk-woonhuis,,,De Friese Meren,Friesland,Balk,,Lytse Side 7,8561 AX,beschermd,5.583951512915,52.899296611898
#0080ff,small,,15899,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Meerweg 2,8561 AT,beschermd,5.582792036536,52.899226627208
#0080ff,small,,15900,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Meerweg 3,8561 AT,beschermd,5.582762798175,52.899334512402
#0080ff,small,,15901,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Meerweg 4,8561 AT,beschermd,5.582985551252,52.899298201251
#0080ff,small,,15902,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Meerweg 5,8561 AT,beschermd,5.582986115968,52.899424010454
#0080ff,small,,15903,,Werk-woonhuis,,,De Friese Meren,Friesland,Balk,,Meerweg 6,8561 AT,beschermd,5.58310516535,52.899459760748
#0080ff,small,,15904,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Meerweg 9,8561 AT,beschermd,5.583551440454,52.899557877806
#0080ff,small,,15905,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Meerweg 10,8561 AT,beschermd,5.583625947984,52.899602687327
#0080ff,small,,15906,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Raadhuisstraat 2,8561 BG,beschermd,5.582760179309,52.898750398186
#0080ff,small,,15907,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Raadhuisstraat 4,8561 BG,beschermd,5.582596227845,52.898642829588
